feature,importance
cds_spread_lag1,0.057354845
volatility_12m,0.054344386
debt_to_assets,0.049271595
debt_to_equity,0.044538304
roa,0.044376623
cds_spread_lag4,0.044231035
profit_margin,0.043419242
return_lag1,0.0409838
return_1m,0.040582474
momentum_12m,0.040556278
niq,0.03880374
volatility_3m,0.036620777
momentum_3m,0.036286823
ltq,0.035102665
leverage,0.035082728
log_market_cap,0.032329336
price,0.031971734
current_ratio,0.03145728
atq,0.031085419
max_drawdown_12m,0.028238395
cash_ratio,0.028060034
asset_turnover,0.027906938
seqq,0.027686307
saleq_change,0.025243185
saleq,0.025035063
roe,0.023686603
return_lag4,0.023418393
atq_change,0.022326035
