feature,mean_abs_shap,mean_shap,std_shap
cds_spread_lag1,0.18267773,-0.015186021,0.2527526
return_1m,0.07898608,0.003930273,0.08191409
volatility_12m,0.07199318,-0.060350858,0.061307568
debt_to_assets,0.062820725,0.0027012299,0.09559375
cds_spread_lag4,0.050220594,0.0001010877,0.05555014
momentum_12m,0.04950001,-0.027884994,0.049586102
roa,0.035844702,-0.0074335975,0.041805595
profit_margin,0.029963614,-0.0077556637,0.034813385
cash_ratio,0.025325578,-0.0006317619,0.031498134
return_lag1,0.025190663,-0.0014829539,0.043587208
momentum_3m,0.023683105,-0.00071230996,0.03897018
debt_to_equity,0.023356052,0.0038840033,0.03292433
niq,0.018737815,-0.004862267,0.022764677
current_ratio,0.018036377,0.0005564493,0.021296378
leverage,0.017368235,-0.0025527463,0.023421094
log_market_cap,0.017270975,-0.0067313304,0.021481622
volatility_3m,0.015540242,0.0043361895,0.022133427
price,0.013210137,-0.0074880077,0.016117932
ltq,0.012363844,-0.0013034901,0.021407865
saleq_change,0.008669455,-0.0016367283,0.010787777
return_lag4,0.008045521,-0.00053261576,0.011939402
asset_turnover,0.007665522,-0.003614548,0.01211106
saleq,0.0063982415,-0.0005131735,0.010383348
atq,0.006328907,-0.0014686675,0.0091181435
seqq,0.004903836,1.5298105e-05,0.0066237524
roe,0.004742173,-0.0021162308,0.0065486487
max_drawdown_12m,0.0032356912,-0.001702257,0.005178144
atq_change,0.0029661332,-0.0013866303,0.0065856697
