Variable,Total,Missing,Missing_Pct,Negative,Zero,Valid,Quality,Dataset
ATQ,35902,1576,4.39,0,0,34326,Good,Compustat
LTQ,35902,1590,4.43,0,1,34312,Good,Compustat
NIQ,35902,1805,5.03,4760,7,29337,Good,Compustat
SALEQ,35902,1092,3.04,31,24,34779,Good,Compustat
CHEQ,35902,1810,5.04,0,59,34092,Good,Compustat
DLTTQ,35902,1758,4.9,0,198,34144,Good,Compustat
DLCQ,35902,5115,14.25,0,1676,30787,Fair,Compustat
ACTQ,35902,7307,20.35,0,10,28595,Poor,Compustat
LCTQ,35902,7313,20.37,0,1,28589,Poor,Compustat
CSHOQ,35902,1789,4.98,0,0,34113,Good,Compustat
PRCCQ,35902,940,2.62,0,0,34962,Good,Compustat
OIBDPQ,35902,4793,13.35,820,3,30289,Fair,Compustat
RECTQ,35902,2707,7.54,0,289,33195,Good,Compustat
INVTQ,35902,3106,8.65,0,6121,32796,Good,Compustat
