threshold,train_f1,train_precision,train_recall,test_f1,test_precision,test_recall
0.1,0.34925918408768014,0.21157723897113068,1.0,0.38859325965343156,0.2427548585066485,0.9733424470266575
0.15000000000000002,0.37441253263707575,0.23032444587214906,1.0,0.3950296199971102,0.2504580432392818,0.9343814080656186
0.20000000000000004,0.4093244529019981,0.2573274315109463,1.0,0.4017590702057484,0.26080750407830344,0.8742310321257689
0.25000000000000006,0.45702751513863804,0.2961993941063068,1.0,0.41201117318435754,0.27667057444314186,0.8065618591934381
0.30000000000000004,0.5173471228428838,0.3489334090356071,1.0,0.41111777644471104,0.29055963821368,0.7026657552973342
0.3500000000000001,0.587712096332786,0.4164242776808222,0.998372849837285,0.40092699884125144,0.3032959326788219,0.5912508544087491
0.40000000000000013,0.6664589985203645,0.5011125424522778,0.9946536494653649,0.3879690949227373,0.32531235539102266,0.4805194805194805
0.45000000000000007,0.7446996466431095,0.6005984611000285,0.9797768479776848,0.3625,0.3493975903614458,0.37662337662337664
0.5000000000000001,0.8065438060510496,0.7000855431993157,0.9511854951185496,0.31220657276995306,0.3650503202195791,0.2727272727272727
0.5500000000000002,0.8453541260558805,0.7913625304136253,0.907252440725244,0.23859972362966375,0.365819209039548,0.17703349282296652
0.6000000000000002,0.8488799336256964,0.8660217654171705,0.8324035332403533,0.16880341880341881,0.3863080684596577,0.10799726589200273
0.6500000000000001,0.7984690510756236,0.9236641221374046,0.703161320316132,0.09665871121718377,0.38028169014084506,0.05536568694463431
0.7000000000000002,0.7004554135448803,0.9516966067864271,0.5541608554160855,0.043701799485861184,0.3655913978494624,0.02323991797676008
0.7500000000000002,0.5400403768506057,0.9774665042630938,0.37308228730822873,0.019867549668874173,0.3191489361702128,0.010252904989747095
0.8000000000000002,0.3475095785440613,0.9880174291938998,0.2108321710832171,0.0027137042062415195,0.18181818181818182,0.001367053998632946
0.8500000000000002,0.16339590443686006,0.9922279792746114,0.08902835890283589,0.0013651877133105802,0.5,0.000683526999316473
